"Kod";"Nazwa";"Wyszczególnienie";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2002";2165,84;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2003";2233,58;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2004";2356,89;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2005";2477,56;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2006";2617,16;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2007";2860,66;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2008";3135,83;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2009";3295,44;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2010";3412,37;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2011";3587,25;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2012";3709,32;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2013";3868,86;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2014";4042,86;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2015";4204,24;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2016";4385,84;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2017";4654,51;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2018";4942,39;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2019";5323,55;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2020";5693,69;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2021";6242,88;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2022";6945,01;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2023";7850,30;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2002";1953,39;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2003";2000,96;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2004";2087,30;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2005";2153,46;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2006";2268,87;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2007";2443,17;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2008";2691,69;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2009";2810,97;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2010";2910,82;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2011";3062,32;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2012";3182,31;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2013";3322,09;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2014";3439,06;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2015";3540,25;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2016";3672,98;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2017";3886,20;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2018";4139,21;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2019";4494,37;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2020";4831,73;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2021";5286,83;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2022";5888,55;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2023";6721,48;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2002";1941,01;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2003";1995,50;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2004";2096,15;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2005";2180,18;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2006";2290,60;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2007";2486,22;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2008";2771,99;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2009";2891,30;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2010";3099,60;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2011";3257,14;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2012";3382,66;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2013";3488,61;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2014";3605,03;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2015";3699,48;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2016";3815,95;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2017";4020,25;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2018";4260,71;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2019";4564,85;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2020";4914,95;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2021";5318,68;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2022";5909,60;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2023";6774,52;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2002";1936,54;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2003";1990,13;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2004";2067,56;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2005";2144,35;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2006";2235,01;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2007";2429,97;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2008";2653,55;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2009";2802,77;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2010";2920,43;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2011";3073,95;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2012";3203,18;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2013";3282,07;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2014";3425,38;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2015";3567,60;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2016";3734,90;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2017";3950,95;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2018";4239,92;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2019";4559,96;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2020";4832,07;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2021";5286,50;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2022";6014,38;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2023";6882,46;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2002";1966,22;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2003";2024,32;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2004";2123,36;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2005";2188,15;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2006";2287,90;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2007";2470,86;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2008";2740,58;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2009";2884,60;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2010";3066,02;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2011";3245,97;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2012";3383,30;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2013";3510,20;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2014";3618,63;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2015";3790,76;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2016";3925,10;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2017";4141,94;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2018";4441,29;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2019";4790,10;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2020";5148,38;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2021";5622,29;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2022";6210,68;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2023";7052,93;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2002";2060,99;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2003";2109,69;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2004";2216,21;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2005";2303,42;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2006";2443,91;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2007";2666,24;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2008";2903,63;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2009";3057,71;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2010";3169,90;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2011";3332,98;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2012";3456,16;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2013";3574,22;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2014";3700,06;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2015";3906,96;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2016";4077,91;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2017";4347,10;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2018";4678,95;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2019";5098,26;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2020";5536,07;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2021";6046,95;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2022";6824,68;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2023";7736,56;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2002";2893,83;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2003";3005,37;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2004";3095,96;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2005";3227,04;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2006";3381,13;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2007";3670,84;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2008";4036,26;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2009";4179,63;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2010";4279,55;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2011";4504,66;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2012";4637,58;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2013";4773,41;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2014";4927,34;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2015";5098,55;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2016";5240,86;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2017";5523,65;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2018";5888,90;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2019";6248,47;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2020";6581,81;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2021";7108,20;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2022";7913,14;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2023";8928,60;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2002";2029,99;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2003";2087,30;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2004";2183,74;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2005";2249,89;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2006";2367,74;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2007";2607,45;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2008";2873,22;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2009";2987,87;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2010";3137,29;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2011";3249,58;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2012";3358,42;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2013";3473,40;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2014";3632,84;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2015";3793,28;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2016";3927,04;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2017";4144,91;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2018";4379,25;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2019";4712,47;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2020";5078,51;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2021";5492,82;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2022";6134,18;"zł";"";
1600000;"OPOLSKIE";"ogółem";"2023";6975,81;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2002";1875,41;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2003";1950,01;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2004";2018,59;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2005";2081,76;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2006";2179,57;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2007";2372,82;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2008";2614,12;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2009";2740,89;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2010";2877,43;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2011";3023,21;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2012";3152,36;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2013";3282,69;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2014";3412,30;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2015";3527,62;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2016";3653,67;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2017";3837,17;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2018";4089,81;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2019";4388,16;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2020";4707,81;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2021";5172,11;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2022";5662,53;"zł";"";
1800000;"PODKARPACKIE";"ogółem";"2023";6436,15;"zł";"";
2000000;"PODLASKIE";"ogółem";"2002";1958,00;"zł";"";
2000000;"PODLASKIE";"ogółem";"2003";2035,43;"zł";"";
2000000;"PODLASKIE";"ogółem";"2004";2107,50;"zł";"";
2000000;"PODLASKIE";"ogółem";"2005";2192,77;"zł";"";
2000000;"PODLASKIE";"ogółem";"2006";2307,59;"zł";"";
2000000;"PODLASKIE";"ogółem";"2007";2524,95;"zł";"";
2000000;"PODLASKIE";"ogółem";"2008";2781,21;"zł";"";
2000000;"PODLASKIE";"ogółem";"2009";2884,68;"zł";"";
2000000;"PODLASKIE";"ogółem";"2010";3019,83;"zł";"";
2000000;"PODLASKIE";"ogółem";"2011";3178,15;"zł";"";
2000000;"PODLASKIE";"ogółem";"2012";3310,71;"zł";"";
2000000;"PODLASKIE";"ogółem";"2013";3432,71;"zł";"";
2000000;"PODLASKIE";"ogółem";"2014";3530,17;"zł";"";
2000000;"PODLASKIE";"ogółem";"2015";3647,08;"zł";"";
2000000;"PODLASKIE";"ogółem";"2016";3767,20;"zł";"";
2000000;"PODLASKIE";"ogółem";"2017";4005,94;"zł";"";
2000000;"PODLASKIE";"ogółem";"2018";4264,04;"zł";"";
2000000;"PODLASKIE";"ogółem";"2019";4575,88;"zł";"";
2000000;"PODLASKIE";"ogółem";"2020";4929,64;"zł";"";
2000000;"PODLASKIE";"ogółem";"2021";5412,89;"zł";"";
2000000;"PODLASKIE";"ogółem";"2022";6012,94;"zł";"";
2000000;"PODLASKIE";"ogółem";"2023";6805,04;"zł";"";
2200000;"POMORSKIE";"ogółem";"2002";2175,63;"zł";"";
2200000;"POMORSKIE";"ogółem";"2003";2257,16;"zł";"";
2200000;"POMORSKIE";"ogółem";"2004";2374,71;"zł";"";
2200000;"POMORSKIE";"ogółem";"2005";2511,25;"zł";"";
2200000;"POMORSKIE";"ogółem";"2006";2650,20;"zł";"";
2200000;"POMORSKIE";"ogółem";"2007";2882,56;"zł";"";
2200000;"POMORSKIE";"ogółem";"2008";3167,70;"zł";"";
2200000;"POMORSKIE";"ogółem";"2009";3320,06;"zł";"";
2200000;"POMORSKIE";"ogółem";"2010";3383,58;"zł";"";
2200000;"POMORSKIE";"ogółem";"2011";3567,49;"zł";"";
2200000;"POMORSKIE";"ogółem";"2012";3696,89;"zł";"";
2200000;"POMORSKIE";"ogółem";"2013";3847,12;"zł";"";
2200000;"POMORSKIE";"ogółem";"2014";4011,59;"zł";"";
2200000;"POMORSKIE";"ogółem";"2015";4132,13;"zł";"";
2200000;"POMORSKIE";"ogółem";"2016";4274,73;"zł";"";
2200000;"POMORSKIE";"ogółem";"2017";4496,64;"zł";"";
2200000;"POMORSKIE";"ogółem";"2018";4794,74;"zł";"";
2200000;"POMORSKIE";"ogółem";"2019";5142,01;"zł";"";
2200000;"POMORSKIE";"ogółem";"2020";5484,46;"zł";"";
2200000;"POMORSKIE";"ogółem";"2021";5994,33;"zł";"";
2200000;"POMORSKIE";"ogółem";"2022";6696,84;"zł";"";
2200000;"POMORSKIE";"ogółem";"2023";7550,99;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2002";2298,44;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2003";2380,23;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2004";2488,62;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2005";2587,07;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2006";2729,63;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2007";2933,32;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2008";3239,09;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2009";3405,18;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2010";3528,19;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2011";3794,62;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2012";3855,26;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2013";4022,80;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2014";4100,51;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2015";4221,45;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2016";4295,29;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2017";4481,57;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2018";4825,28;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2019";5177,86;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2020";5450,86;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2021";5907,84;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2022";6727,57;"zł";"";
2400000;"ŚLĄSKIE";"ogółem";"2023";7611,38;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2002";1977,75;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2003";2024,41;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2004";2117,74;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2005";2173,15;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2006";2263,60;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2007";2467,07;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2008";2745,39;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2009";2868,09;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2010";2971,58;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2011";3137,91;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2012";3250,94;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2013";3349,81;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2014";3435,93;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2015";3580,62;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2016";3669,57;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2017";3911,49;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2018";4171,17;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2019";4490,41;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2020";4800,21;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2021";5262,19;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2022";5782,60;"zł";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2023";6585,16;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2002";1947,99;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2003";2003,28;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2004";2050,21;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2005";2103,99;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2006";2218,32;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2007";2398,00;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2008";2615,33;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2009";2752,41;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2010";2879,97;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2011";3019,37;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2012";3150,27;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2013";3264,63;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2014";3386,96;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2015";3495,02;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2016";3619,16;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2017";3802,98;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2018";4028,33;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2019";4319,51;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2020";4709,12;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2021";5126,75;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2022";5674,89;"zł";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2023";6447,09;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2002";2047,58;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2003";2129,03;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2004";2204,31;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2005";2263,60;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2006";2389,00;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2007";2610,82;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2008";2868,81;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2009";2976,28;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2010";3126,36;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2011";3284,41;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2012";3397,25;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2013";3515,31;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2014";3597,69;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2015";3723,69;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2016";3894,10;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2017";4124,13;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2018";4382,96;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2019";4687,39;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2020";4985,75;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2021";5379,43;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2022";6019,68;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2023";6772,06;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2002";2068,44;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2003";2134,74;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2004";2221,63;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2005";2307,99;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2006";2406,98;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2007";2615,83;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2008";2881,00;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2009";3021,51;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2010";3120,15;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2011";3289,56;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2012";3417,76;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2013";3539,12;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2014";3649,27;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2015";3793,68;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2016";3946,28;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2017";4154,25;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2018";4431,95;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2019";4769,71;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2020";5099,49;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2021";5549,85;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2022";6169,94;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2023";7007,40;"zł";"";
